,Info Gain (Best),Gini (Best),Info Gain (Random),Gini (Random)
Run 1,0.947977,0.942197,0.806358,0.82659
Run 2,0.93913,0.942029,0.773913,0.756522
Run 3,0.947977,0.947977,0.867052,0.861272
Run 4,0.939306,0.936416,0.809249,0.872832
Run 5,0.956522,0.956522,0.817391,0.817391
Run 6,0.919075,0.919075,0.815029,0.780347
Run 7,0.933526,0.924855,0.760116,0.820809
Run 8,0.942029,0.942029,0.849275,0.849275
Run 9,0.950725,0.936232,0.831884,0.837681
Run 10,0.930636,0.939306,0.84104,0.843931
Run 11,0.921739,0.904348,0.791304,0.791304
Run 12,0.930636,0.924855,0.774566,0.812139
Run 13,0.927536,0.927536,0.826087,0.747826
Run 14,0.927536,0.924638,0.773913,0.791304
Run 15,0.953623,0.962319,0.826087,0.831884
Run 16,0.953757,0.950867,0.815029,0.803468
Run 17,0.953757,0.945087,0.803468,0.815029
Run 18,0.930636,0.916185,0.783237,0.780347
Run 19,0.936232,0.930435,0.823188,0.823188
Run 20,0.910405,0.910405,0.771676,0.789017
Mean,0.937638,0.934166,0.807993,0.812608
Std Dev,0.012748,0.014886,0.028192,0.032169
